Ticker;Nome;Setor ICB
SPRI5 BZ Equity;SPRINGER SA-PREF A;Household Goods & Home Construction
INEP4 BZ Equity;INEPAR SA INDUSTRIA E C-PREF;General Industrials
XTED11 BZ Equity;TRX EDIFICIOS CORPORATIVOS;#N/A N/A
DTCY3 BZ Equity;DTCOM-DIRECT TO COMPANY SA;Software & Computer Services
MMXM3 BZ Equity;MMX MINERACAO E METALICOS SA;Industrial Metals & Mining
ISUS11 BZ Equity;IT NOW ISE FUNDO DE INDICE;#N/A N/A
MGEL4 BZ Equity;MANGELS INDUSTRIAL SA-PREF;Industrial Metals & Mining
CAMB4 BZ Equity;CAMBUCI S.A.-PREF;Personal Goods
MXRF11 BZ Equity;MAXI RENDA FII;#N/A N/A
TOYB3 BZ Equity;TEC TOY SA;Leisure Goods
GOVE11 BZ Equity;IT NOW IGCT FUNDO DE INDICE;#N/A N/A
BRAX11 BZ Equity;ISHARES BOVESPA IBRX;Nonequity Investment Instruments
MNPR3 BZ Equity;MINUPAR PARTICIPACOES SA;Food Producers
LIXC4 BZ Equity;CONSTRUTORA LIX DA CUNHA-PRF;Construction & Materials
PLAS3 BZ Equity;PLASCAR PARTICIPACOES SA;Automobiles & Parts
MATB11 BZ Equity;IT NOW IMAT FUNDO DE INDICE;#N/A N/A
ESTR4 BZ Equity;MANUF BRINQUEDOS ESTRELA-PRF;Leisure Goods
CCXC3 BZ Equity;CCX CARVAO DA COLOMBIA SA;Mining
ADHM3 BZ Equity;ADVANCEDDIGITAL HEALTH MEDIC;Industrial Metals & Mining
IGBR3 BZ Equity;IGB ELETRONICA SA;Leisure Goods
BBSD11 BZ Equity;BB ETF S&P DIVIDENDOS BRASIL;Nonequity Investment Instruments
RSUL3 BZ Equity;METALURGICA RIOSULENSE S.A.;Automobiles & Parts
TXRX4 BZ Equity;RENAUXVIEW SA-PREF;Personal Goods
TCNO4 BZ Equity;TECNOSOLO ENGENHARIA SA-PREF;Construction & Materials
VIVR3 BZ Equity;VIVER INCORPORADORA E CONSTR;Real Estate Investment & Services
MWET4 BZ Equity;WETZEL SA-PREF;Industrial Metals & Mining
PSVM11 BZ Equity;PORTO SUDESTE VM SA;Nonequity Investment Instruments
SNSY5 BZ Equity;SANSUY SA INDUSTRIA-PREF A;Chemicals
HETA4 BZ Equity;HERCULES SA FABRICA TAL-PREF;Household Goods & Home Construction
TEKA4 BZ Equity;TEKA-TECELAGEM KUEHNRICH-PRF;Household Goods & Home Construction
JBDU4 BZ Equity;INDUSTRIAS J B DUARTE SA-PRF;Food Producers
NUTR3 BZ Equity;NUTRIPLANT INDUSTRIA E COMER;Chemicals
FBMC4 BZ Equity;FIBAM CIA INDUSTRIAL-PREF;Automobiles & Parts
MTIG4 BZ Equity;METALGRAFICA IGUACU SA-PREF;General Industrials
VSPT4 BZ Equity;FERROVIA CENTRO ATLANTI-PREF;Industrial Transportation
BPAR3 BZ Equity;BANCO ESTADO DO PARA S.A.;Banks
MMAQ4 BZ Equity;MINASMAQUINAS SA-PREF;General Retailers
LUXM4 BZ Equity;TREVISA INVESTIMENT SA-PREF;Industrial Transportation
CPTP3B BZ Equity;CAPITALPART PARTICIPACOES SA;Real Estate Investment & Services
PPAR3 BZ Equity;POLPAR SA;Forestry & Paper
NEWT3B BZ Equity;NEWTEL PARTICIPACOES SA;Financial Services
RRRO US Equity;RIVERRUN RESOURCES INC;Financial Services
MNZC3B BZ Equity;TERMINAL GARAGEM MENEZES COR;Industrial Transportation
FNCN3 BZ Equity;FINANSINOS SA;Banks
LTEL3B BZ Equity;LITEL PARTICIPACOES SA;Mining
GNAN3B BZ Equity;NEOENERGIA SA;Electricity
LHER4 BZ Equity;LOJAS HERING SA-PREF;General Retailers
NORD3 BZ Equity;NORDON INDUS METALURGICA SA;Industrial Engineering
OPTS3B BZ Equity;SUL 116 PARTICIPACOES SA;Financial Services
TLVT3B BZ Equity;TELINVEST S.A.;Financial Services
GRUC3 BZ Equity;GRUCAI SA;Financial Services
CASN4 BZ Equity;CIA CATARINENSE AGUAS SAN-PF;Gas, Water & Multiutilities
PSEG4 BZ Equity;SAUIPE SA-PREF;Travel & Leisure
LGBI US Equity;CANNABIZ MOBILE INC;Financial Services
CRTE3B BZ Equity;CONCESSIONARIA RIO-TERESOPOL;Industrial Transportation
AELP3 BZ Equity;AES ELPA SA;Electricity
CATA3 BZ Equity;CIA INDUSTRIAL CATAGUASES;Personal Goods
ODER4 BZ Equity;CONSERVAS ODERICH SA-PREF;Food Producers
CABI3B BZ Equity;CABINDA PARTICIPACOES SA;Financial Services
CACO3B BZ Equity;CACONDE PARTICIPACOES SA;Financial Services
ITSJF US Equity;ITSA LTD;Nonequity Investment Instruments
MAPT4 BZ Equity;CEMEPE INVESTIMENTOS S.A.-PR;Financial Services
BNPA3B BZ Equity;BONAIRE PARTICIPACOES SA;Financial Services
ETRO3B BZ Equity;ELETRON SA;Financial Services
CEGR3 BZ Equity;CIA DISTRIBUIDORA DE GAS;Gas, Water & Multiutilities
UPKP3B BZ Equity;UPTICK PARTICIPACOES SA;Financial Services
SETI3B BZ Equity;SETIBA PARTICIPACOES SA;Financial Services
PRPT3B BZ Equity;PROMPT PARTICIPACOES SA;Financial Services
BJUL3B BZ Equity;COPACABANA PRINCE PART SA;Financial Services
STKF3 BZ Equity;STATKRAFT ENERGIAS RENOVAVEI;Electricity
COBE3B BZ Equity;CONSTRUTORA BETER SA;Construction & Materials
TENE5 BZ Equity;TECBLU TECELAGEM BLUMEN-PR A;Household Goods & Home Construction
FRRN3B BZ Equity;ALL AM LAT LOG MALHA NORTE;Industrial Transportation
SPRT3B BZ Equity;LONGDIS SA;Financial Services
OPSE3B BZ Equity;SUDESTE SA;General Industrials
SLCT3B BZ Equity;SELECTPART PARTICIPACOES SA;Financial Services
CORR4 BZ Equity;CORREA RIBEIRO S.A.-PREF;Financial Services
OPGM3B BZ Equity;GAMA PARTICIPACOES SA;Financial Services
MRSA5B BZ Equity;MRS LOGISTICA SA-PREF A;Industrial Transportation
OPRE3B BZ Equity;RET PARTICIPACOES SA;Financial Services
IVPR3B BZ Equity;INV E PART INFRA-EST-INVEPAR;Nonequity Investment Instruments
NCNE5 BZ Equity;VBC ENERGIA SA-PREF;Electricity
SQRM3 BZ Equity;ITAITINGA PARTICIPACOES SA;Financial Services
ALEF3B BZ Equity;ALEF SA;Financial Services
FTRT3B BZ Equity;FUTURETEL SA;Financial Services
QVQP3B BZ Equity;524 PARTICIPACOES S.A.;Financial Services
CANT4B BZ Equity;ANDRAD GUTIERR PARTICIP-PREF;Financial Services
APTI4 BZ Equity;SIDERURGICA J.L. ALIPERTI-PR;Industrial Metals & Mining
PRMN3B BZ Equity;PRODUTORES ENERGET DE MANSO;Electricity
OPHE3B BZ Equity;OPPORTUNITY ENERGIA E PARTIC;Financial Services
FIGE3 BZ Equity;INVESTIMENTOS BEMGE SA;Financial Services
CMSA4 BZ Equity;CIMS SA-PREF;Financial Services
ANDG3B BZ Equity;ANDRADE GUTIERREZ CONCESSOES;Construction & Materials
BETP3B BZ Equity;BETAPART PARTICIPACOES SA;Nonequity Investment Instruments
IBOV11 BZ Equity;IBOV;General Retailers
BBTG36 BZ Equity;BTG PACTUAL PARTICIPAT-BDRCA;Financial Services
BPAC3 BZ Equity;BANCO BTG PACTUAL SA;Financial Services
BRQB3 BZ Equity;BRQ SOLUCOES EM INFORMATICA;Software & Computer Services
NRTQ3 BZ Equity;NORTEC QUIMICA S/A;Chemicals
CTCA3 BZ Equity;CTC - CENTRO DE TECNOLOGIA C;Chemicals
PMSP11BL BZ Equity;CEPAC - AGUA ESPRAIADA;#N/A N/A
MCRJ11B BZ Equity;CEPAC - PORTO MARAVILHA RJ;#N/A N/A
CTBA11B BZ Equity;CEPAC - LINHA VERDE;#N/A N/A
PMSP12BL BZ Equity;CEPAC - FARIA LIMA;#N/A N/A
ALTS3 BZ Equity;ALTUS SISTEMAS DE AUTOMACAO;Industrial Engineering
CABB3 BZ Equity;CIA DE AGUAS DO BRASIL SA;Gas, Water & Multiutilities
QUSW3 BZ Equity;QUALITY SOFTWARE SA;Software & Computer Services
SCGIII BZ Equity;SCG III FIP;#N/A N/A
PMSP13B BZ Equity;CEPAC - PMSP;#N/A N/A
MSRO3 BZ Equity;MAESTRO LOCADORA DE VEICULOS;General Retailers
PRCA3 BZ Equity;PRATICA PARTICIPACOES SA;Industrial Engineering
HCBR3 BZ Equity;BR HOME CENTERS SA;General Retailers
FOMS3 BZ Equity;FORNO DE MINAS ALIMENTOS S/A;Food Producers
CNSY3 BZ Equity;CINESYSTEM SA;Travel & Leisure
