Ticker;Nome;Setor ICB
CSMG3 BZ Equity;CIA SANEAMENTO MINAS GERAIS;Gas, Water & Multiutilities
CELP5 BZ Equity;CENTRAIS ELET DO PARA-PREF A;Electricity
LIGT3 BZ Equity;LIGHT SA;Electricity
VVAR3 BZ Equity;VIA VAREJO SA;General Retailers
GOAU4 BZ Equity;METALURGICA GERDAU SA-PREF;Industrial Metals & Mining
CVCB3 BZ Equity;CVC BRASIL OPERADORA E AGENC;Travel & Leisure
ENMA3B BZ Equity;CIA ENERGETICA DO MARANHAO;Electricity
EKTR4 BZ Equity;ELECTRICIDADE E SERVICOS-PRF;Electricity
MRFG3 BZ Equity;MARFRIG GLOBAL FOODS SA;Food Producers
SEDU3 BZ Equity;SOMOS EDUCACAO SA;General Retailers
WIZS3 BZ Equity;WIZ SOLUCOES E CORRETAGEM DE;Nonlife Insurance
HGTX3 BZ Equity;CIA HERING;Personal Goods
COCE5 BZ Equity;CIA ENERGETICA DO CEARA-PR A;Electricity
ABCB4 BZ Equity;BANCO ABC BRASIL SA;Banks
GEPA4 BZ Equity;DUKE ENERGY INTL GERACAO-PRF;Gas, Water & Multiutilities
OIBR4 BZ Equity;OI SA-PREFERENCE;Fixed Line Telecommunications
ENEV3 BZ Equity;ENEVA SA;Electricity
PARD3 BZ Equity;INSTITUTO HERMES PARDINI SA;Health Care Equipment & Services
PRML3 BZ Equity;PRUMO LOGISTICA SA;Industrial Transportation
LINX3 BZ Equity;LINX SA;Mobile Telecommunications
EZTC3 BZ Equity;EZ TEC EMPREENDIMENTOS E PAR;Real Estate Investment & Services
SEER3 BZ Equity;SER EDUCACIONAL SA;General Retailers
ARZZ3 BZ Equity;AREZZO INDUSTRIA E COMERCIO;Personal Goods
ALSC3 BZ Equity;ALIANSCE SHOPPING CENTERS SA;Real Estate Investment & Services
GOLL4 BZ Equity;GOL LINHAS AEREAS - PREF;Travel & Leisure
BRPR3 BZ Equity;BR PROPERTIES SA;Real Estate Investment & Services
ENMT4 BZ Equity;ENERGISA MATO GROSSO DISTRIB;Electricity
BOVA11 BZ Equity;ISHARES IBOVESPA;Nonequity Investment Instruments
LEVE3 BZ Equity;MAHLE-METAL LEVE SA;Automobiles & Parts
BEEF3 BZ Equity;MINERVA SA;Food Producers
NETS US Equity;NETSHOES CAYMAN LTD;General Retailers
PNVL4 BZ Equity;DIMED SA DISTRIBUIDORA DE-PR;Food & Drug Retailers
POMO4 BZ Equity;MARCOPOLO SA-PREF;Industrial Engineering
RLOG3 BZ Equity;COSAN LOGISTICA SA;Industrial Transportation
KNCR11 BZ Equity;KINEA RENDIMENTOS IMOB FII;Nonequity Investment Instruments
MOAR3 BZ Equity;MONTEIRO ARANHA S.A.;Financial Services
BBPO11 BZ Equity;BB PROGRESSIVO II FII;Nonequity Investment Instruments
AALR3 BZ Equity;ALLIAR MEDICOS A FRENTE SA;Health Care Equipment & Services
TUPY3 BZ Equity;TUPY SA;Industrial Metals & Mining
ELPL4 BZ Equity;ELETROPAULO METROPOLI-PREF;Electricity
MYPK3 BZ Equity;IOCHPE-MAXION S.A.;Automobiles & Parts
KNRI11 BZ Equity;KINEA RENDA IMOBILIARIA FII;Real Estate Investment Trusts
SLCE3 BZ Equity;SLC AGRICOLA SA;Food Producers
MOVI3 BZ Equity;MOVIDA PARTICIPACOES SA;Travel & Leisure
BRCR11 BZ Equity;FII BTG PACTUAL CORP OFFICE;Real Estate Investment Trusts
SCAR3 BZ Equity;SAO CARLOS EMPREENDIMENTOS;Real Estate Investment & Services
BPAN4 BZ Equity;BANCO PAN SA;Banks
QGEP3 BZ Equity;QGEP PARTICIPACOES SA;Oil & Gas Producers
SSBR3 BZ Equity;SONAE SIERRA BRASIL SA;Real Estate Investment & Services
MAGG3 BZ Equity;MAGNESITA REFRATARIOS SA;Industrial Engineering
RAPT4 BZ Equity;RANDON PARTICIPACOES SA-PREF;Industrial Engineering
JSLG3 BZ Equity;JSL SA;Industrial Transportation
LLIS3 BZ Equity;RESTOQUE COMERCIO E CONFEC;General Retailers
ANIM3 BZ Equity;GAEC EDUCACAO SA;General Retailers
AMAR3 BZ Equity;MARISA LOJAS SA;General Retailers
OFSA3 BZ Equity;OURO FINO SAUDE ANIMAL PARTI;Pharmaceuticals & Biotechnology
BSEV3 BZ Equity;BIOSEV SA;Food Producers
STBP3 BZ Equity;SANTOS BRASIL PARTICIPACOES;Industrial Transportation
MLFT4 BZ Equity;JEREISSATI PARTICIPACOES-PR;Real Estate Investment & Services
CEPE5 BZ Equity;CIA ENERGETICA DE PER-PREF A;Electricity
VLID3 BZ Equity;VALID SOLUCOES SA;Support Services
CCPR3 BZ Equity;CYRELA COMMERCIAL PROPERTIES;Real Estate Investment & Services
JHSF3 BZ Equity;JHSF PARTICIPACOES SA;Real Estate Investment & Services
HGBS11 BZ Equity;CSHG BRASIL SHOPPING;Real Estate Investment Trusts
BEES3 BZ Equity;BANESTES SA-BANCO ESTADO ESP;Banks
HGRE11 BZ Equity;CSHG REAL ESTATE FII;Equity Investment Instruments
FESA4 BZ Equity;CIA FERRO LIGAS DA BAHIA -FE;Industrial Metals & Mining
MEAL3 BZ Equity;INTERNATIONAL MEAL COMPANY A;Travel & Leisure
ABCP11 BZ Equity;FII GRAND PLAZA SHOPPING;Real Estate Investment Trusts
EEEL3 BZ Equity;CIA ESTADUAL DE GERACAO E TR;Electricity
VULC3 BZ Equity;VULCABRAS AZALEIA SA;Personal Goods
PIBB11 BZ Equity;IT NOW PIBB IBRX-50 FI;Nonequity Investment Instruments
PRBC4 BZ Equity;PARANA BANCO SA;Banks
TGMA3 BZ Equity;TEGMA GESTAO LOGISTICA;Industrial Transportation
CLSC4 BZ Equity;CENTRAIS ELETRICAS SANTA CAT;Electricity
EVEN3 BZ Equity;EVEN CONSTRUTORA E INCORPORA;Real Estate Investment & Services
UNIP6 BZ Equity;UNIPAR CARBOCLORO SA;Chemicals
BAZA3 BZ Equity;BANCO DA AMAZONIA SA;Banks
DIRR3 BZ Equity;DIRECIONAL ENGENHARIA SA;Household Goods & Home Construction
TCSA3 BZ Equity;TECNISA SA;Household Goods & Home Construction
BSLI3 BZ Equity;BRB BANCO DE BRASILIA SA;Banks
RNEW11 BZ Equity;RENOVA ENERGIA SA-UNITS;Electricity
TEND3 BZ Equity;CONSTRUTORA TENDA SA;Household Goods & Home Construction
